"Eastern Date Hour","Eastern Date Hour Time Zone","Zone Name","Zone PTID","DAM Zonal LBMP","DAM Zonal Losses","DAM Zonal Congestion","DAM Zonal Price Version"
"2025/02/01 00:00:00","EST","CAPITL","61757","67.18","3.26","0","1"
"2025/02/01 00:00:00","EST","CENTRL","61754","62.13","-1.79","0","1"
"2025/02/01 00:00:00","EST","DUNWOD","61760","66.92","3","0","1"
"2025/02/01 00:00:00","EST","GENESE","61753","59.89","-4.02","0","1"
"2025/02/01 00:00:00","EST","H Q","61844","64.43","0.51","0","1"
"2025/02/01 00:00:00","EST","HUD VL","61758","66.66","2.75","0","1"
"2025/02/01 00:00:00","EST","LONGIL","61762","70.25","4.41","-1.92","1"
"2025/02/01 00:00:00","EST","MHK VL","61756","65.9","1.98","0","1"
"2025/02/01 00:00:00","EST","MILLWD","61759","66.92","3","0","1"
"2025/02/01 00:00:00","EST","N.Y.C.","61761","66.66","2.75","0","1"
"2025/02/01 00:00:00","EST","NORTH","61755","65.77","1.85","0","1"
"2025/02/01 00:00:00","EST","NPX","61845","79.1","2.94","-12.24","1"
"2025/02/01 00:00:00","EST","O H","61846","57.08","-6.84","0","1"
"2025/02/01 00:00:00","EST","PJM","61847","34.1","-3.96","25.86","1"
"2025/02/01 00:00:00","EST","WEST","61752","58.04","-5.88","0","1"
"2025/02/01 01:00:00","EST","CAPITL","61757","55.12","2.62","0","1"
"2025/02/01 01:00:00","EST","CENTRL","61754","51.03","-1.47","0","1"
"2025/02/01 01:00:00","EST","DUNWOD","61760","54.86","2.36","0","1"
"2025/02/01 01:00:00","EST","GENESE","61753","49.29","-3.2","0","1"
"2025/02/01 01:00:00","EST","H Q","61844","53.02","0.52","0","1"
"2025/02/01 01:00:00","EST","HUD VL","61758","54.6","2.1","0","1"
"2025/02/01 01:00:00","EST","LONGIL","61762","62.44","3.46","-6.48","1"
"2025/02/01 01:00:00","EST","MHK VL","61756","53.97","1.47","0","1"
"2025/02/01 01:00:00","EST","MILLWD","61759","54.81","2.31","0","1"
"2025/02/01 01:00:00","EST","N.Y.C.","61761","54.65","2.15","0","1"
"2025/02/01 01:00:00","EST","NORTH","61755","54.28","1.79","0","1"
"2025/02/01 01:00:00","EST","NPX","61845","78","2.31","-23.19","1"
"2025/02/01 01:00:00","EST","O H","61846","47.3","-5.2","0","1"
"2025/02/01 01:00:00","EST","PJM","61847","33.25","-3.1","16.15","1"
"2025/02/01 01:00:00","EST","WEST","61752","48.09","-4.41","0","1"
"2025/02/01 02:00:00","EST","CAPITL","61757","48.71","2.23","0","1"
"2025/02/01 02:00:00","EST","CENTRL","61754","45.46","-1.02","0","1"
"2025/02/01 02:00:00","EST","DUNWOD","61760","48.34","1.86","0","1"
"2025/02/01 02:00:00","EST","GENESE","61753","44.2","-2.28","0","1"
"2025/02/01 02:00:00","EST","H Q","61844","46.95","0.46","0","1"
"2025/02/01 02:00:00","EST","HUD VL","61758","48.11","1.63","0","1"
"2025/02/01 02:00:00","EST","LONGIL","61762","65.06","2.88","-15.7","1"
"2025/02/01 02:00:00","EST","MHK VL","61756","47.74","1.26","0","1"
"2025/02/01 02:00:00","EST","MILLWD","61759","48.34","1.86","0","1"
"2025/02/01 02:00:00","EST","N.Y.C.","61761","48.8","1.86","-0.46","1"
"2025/02/01 02:00:00","EST","NORTH","61755","48.11","1.63","0","1"
"2025/02/01 02:00:00","EST","NPX","61845","79.19","1.91","-30.8","1"
"2025/02/01 02:00:00","EST","O H","61846","42.67","-3.81","0","1"
"2025/02/01 02:00:00","EST","PJM","61847","42.26","-0.88","3.34","1"
"2025/02/01 02:00:00","EST","WEST","61752","43.37","-3.11","0","1"
"2025/02/01 03:00:00","EST","CAPITL","61757","46.91","2.06","0","1"
"2025/02/01 03:00:00","EST","CENTRL","61754","43.99","-0.85","0","1"
"2025/02/01 03:00:00","EST","DUNWOD","61760","46.55","1.7","0","1"
"2025/02/01 03:00:00","EST","GENESE","61753","42.96","-1.88","0","1"
"2025/02/01 03:00:00","EST","H Q","61844","45.29","0.45","0","1"
"2025/02/01 03:00:00","EST","HUD VL","61758","46.32","1.48","0","1"
"2025/02/01 03:00:00","EST","LONGIL","61762","61.28","2.69","-13.75","1"
"2025/02/01 03:00:00","EST","MHK VL","61756","46.15","1.3","0","1"
"2025/02/01 03:00:00","EST","MILLWD","61759","46.5","1.66","0","1"
"2025/02/01 03:00:00","EST","N.Y.C.","61761","47.28","1.7","-0.74","1"
"2025/02/01 03:00:00","EST","NORTH","61755","46.37","1.53","0","1"
"2025/02/01 03:00:00","EST","NPX","61845","76.35","1.8","-29.71","1"
"2025/02/01 03:00:00","EST","O H","61846","41.75","-3.09","0","1"
"2025/02/01 03:00:00","EST","PJM","61847","44.07","-0.76","0.01","1"
"2025/02/01 03:00:00","EST","WEST","61752","42.38","-2.47","0","1"
"2025/02/01 04:00:00","EST","CAPITL","61757","47.98","2.15","0","1"
"2025/02/01 04:00:00","EST","CENTRL","61754","45","-0.82","0","1"
"2025/02/01 04:00:00","EST","DUNWOD","61760","47.47","1.65","0","1"
"2025/02/01 04:00:00","EST","GENESE","61753","43.99","-1.83","0","1"
"2025/02/01 04:00:00","EST","H Q","61844","46.28","0.46","0","1"
"2025/02/01 04:00:00","EST","HUD VL","61758","47.33","1.51","0","1"
"2025/02/01 04:00:00","EST","LONGIL","61762","61.8","2.7","-13.28","1"
"2025/02/01 04:00:00","EST","MHK VL","61756","47.15","1.33","0","1"
"2025/02/01 04:00:00","EST","MILLWD","61759","47.52","1.7","0","1"
"2025/02/01 04:00:00","EST","N.Y.C.","61761","48.07","1.65","-0.6","1"
"2025/02/01 04:00:00","EST","NORTH","61755","47.29","1.47","0","1"
"2025/02/01 04:00:00","EST","NPX","61845","77.79","1.79","-30.18","1"
"2025/02/01 04:00:00","EST","O H","61846","42.71","-3.12","0","1"
"2025/02/01 04:00:00","EST","PJM","61847","45.03","-0.78","0.01","1"
"2025/02/01 04:00:00","EST","WEST","61752","43.39","-2.43","0","1"
"2025/02/01 05:00:00","EST","CAPITL","61757","50.37","2.31","0","1"
"2025/02/01 05:00:00","EST","CENTRL","61754","47.15","-0.91","0","1"
"2025/02/01 05:00:00","EST","DUNWOD","61760","49.79","1.73","0","1"
"2025/02/01 05:00:00","EST","GENESE","61753","46","-2.07","0","1"
"2025/02/01 05:00:00","EST","H Q","61844","48.55","0.48","0","1"
"2025/02/01 05:00:00","EST","HUD VL","61758","49.6","1.54","0","1"
"2025/02/01 05:00:00","EST","LONGIL","61762","61.89","2.84","-10.99","1"
"2025/02/01 05:00:00","EST","MHK VL","61756","49.46","1.39","0","1"
"2025/02/01 05:00:00","EST","MILLWD","61759","49.85","1.78","0","1"
"2025/02/01 05:00:00","EST","N.Y.C.","61761","50.04","1.73","-0.25","1"
"2025/02/01 05:00:00","EST","NORTH","61755","49.7","1.64","0","1"
"2025/02/01 05:00:00","EST","NPX","61845","81.97","1.83","-32.08","1"
"2025/02/01 05:00:00","EST","O H","61846","44.51","-3.56","0","1"
"2025/02/01 05:00:00","EST","PJM","61847","47.1","-0.96","0","1"
"2025/02/01 05:00:00","EST","WEST","61752","45.23","-2.84","0","1"
"2025/02/01 06:00:00","EST","CAPITL","61757","55.96","2.51","0","1"
"2025/02/01 06:00:00","EST","CENTRL","61754","52.7","-0.75","0","1"
"2025/02/01 06:00:00","EST","DUNWOD","61760","55.11","1.66","0","1"
"2025/02/01 06:00:00","EST","GENESE","61753","51.58","-1.87","0","1"
"2025/02/01 06:00:00","EST","H Q","61844","54.04","0.59","0","1"
"2025/02/01 06:00:00","EST","HUD VL","61758","55","1.55","0","1"
"2025/02/01 06:00:00","EST","LONGIL","61762","70.82","2.88","-14.49","1"
"2025/02/01 06:00:00","EST","MHK VL","61756","55.11","1.66","0","1"
"2025/02/01 06:00:00","EST","MILLWD","61759","55.16","1.71","0","1"
"2025/02/01 06:00:00","EST","N.Y.C.","61761","54.94","1.49","0","1"
"2025/02/01 06:00:00","EST","NORTH","61755","55.16","1.71","0","1"
"2025/02/01 06:00:00","EST","NPX","61845","88.58","1.87","-33.26","1"
"2025/02/01 06:00:00","EST","O H","61846","49.98","-3.47","0","1"
"2025/02/01 06:00:00","EST","PJM","61847","52.47","-0.96","0.02","1"
"2025/02/01 06:00:00","EST","WEST","61752","50.88","-2.56","0","1"
"2025/02/01 07:00:00","EST","CAPITL","61757","58.81","2.64","0","1"
"2025/02/01 07:00:00","EST","CENTRL","61754","55.1","-1.07","0","1"
"2025/02/01 07:00:00","EST","DUNWOD","61760","58.3","2.13","0","1"
"2025/02/01 07:00:00","EST","GENESE","61753","53.42","-2.75","0","1"
"2025/02/01 07:00:00","EST","H Q","61844","56.79","0.62","0","1"
"2025/02/01 07:00:00","EST","HUD VL","61758","57.96","1.8","0","1"
"2025/02/01 07:00:00","EST","LONGIL","61762","86.74","3.37","-27.21","1"
"2025/02/01 07:00:00","EST","MHK VL","61756","57.96","1.8","0","1"
"2025/02/01 07:00:00","EST","MILLWD","61759","58.25","2.08","0","1"
"2025/02/01 07:00:00","EST","N.Y.C.","61761","58.13","1.96","0","1"
"2025/02/01 07:00:00","EST","NORTH","61755","58.02","1.85","0","1"
"2025/02/01 07:00:00","EST","NPX","61845","97.89","2.08","-39.64","1"
"2025/02/01 07:00:00","EST","O H","61846","51","-5.17","0","1"
"2025/02/01 07:00:00","EST","PJM","61847","54.76","-1.29","0.12","1"
"2025/02/01 07:00:00","EST","WEST","61752","52.01","-4.16","0","1"
"2025/02/01 08:00:00","EST","CAPITL","61757","62.04","2.95","0","1"
"2025/02/01 08:00:00","EST","CENTRL","61754","57.78","-1.3","0","1"
"2025/02/01 08:00:00","EST","DUNWOD","61760","61.45","2.37","0","1"
"2025/02/01 08:00:00","EST","GENESE","61753","55.83","-3.25","0","1"
"2025/02/01 08:00:00","EST","H Q","61844","59.68","0.59","0","1"
"2025/02/01 08:00:00","EST","HUD VL","61758","61.15","2.07","0","1"
"2025/02/01 08:00:00","EST","LONGIL","61762","86.27","3.66","-23.52","1"
"2025/02/01 08:00:00","EST","MHK VL","61756","61.03","1.95","0","1"
"2025/02/01 08:00:00","EST","MILLWD","61759","61.45","2.37","0","1"
"2025/02/01 08:00:00","EST","N.Y.C.","61761","61.38","2.3","0","1"
"2025/02/01 08:00:00","EST","NORTH","61755","60.86","1.77","0","1"
"2025/02/01 08:00:00","EST","NPX","61845","86.21","2.3","-24.82","1"
"2025/02/01 08:00:00","EST","O H","61846","53","-6.08","0","1"
"2025/02/01 08:00:00","EST","PJM","61847","57.2","-1.54","0.34","1"
"2025/02/01 08:00:00","EST","WEST","61752","54.18","-4.9","0","1"
"2025/02/01 09:00:00","EST","CAPITL","61757","70.25","3.15","0","1"
"2025/02/01 09:00:00","EST","CENTRL","61754","65.81","-1.28","0","1"
"2025/02/01 09:00:00","EST","DUNWOD","61760","69.64","2.55","0","1"
"2025/02/01 09:00:00","EST","GENESE","61753","63.87","-3.22","0","1"
"2025/02/01 09:00:00","EST","H Q","61844","67.76","0.67","0","1"
"2025/02/01 09:00:00","EST","HUD VL","61758","69.1","2.01","0","1"
"2025/02/01 09:00:00","EST","LONGIL","61762","78.58","3.96","-7.53","1"
"2025/02/01 09:00:00","EST","MHK VL","61756","69.44","2.35","0","1"
"2025/02/01 09:00:00","EST","MILLWD","61759","69.58","2.48","0","1"
"2025/02/01 09:00:00","EST","N.Y.C.","61761","69.64","2.55","0","1"
"2025/02/01 09:00:00","EST","NORTH","61755","69.1","2.01","0","1"
"2025/02/01 09:00:00","EST","NPX","61845","81.25","2.48","-11.68","1"
"2025/02/01 09:00:00","EST","O H","61846","60.92","-6.17","0","1"
"2025/02/01 09:00:00","EST","PJM","61847","64.45","-1.67","0.96","1"
"2025/02/01 09:00:00","EST","WEST","61752","62.33","-4.76","0","1"
"2025/02/01 10:00:00","EST","CAPITL","61757","73.82","3.31","0","1"
"2025/02/01 10:00:00","EST","CENTRL","61754","69.02","-1.48","0","1"
"2025/02/01 10:00:00","EST","DUNWOD","61760","73.46","2.96","0","1"
"2025/02/01 10:00:00","EST","GENESE","61753","66.76","-3.74","0","1"
"2025/02/01 10:00:00","EST","H Q","61844","71.06","0.56","0","1"
"2025/02/01 10:00:00","EST","HUD VL","61758","72.9","2.4","0","1"
"2025/02/01 10:00:00","EST","LONGIL","61762","77.67","4.37","-2.8","1"
"2025/02/01 10:00:00","EST","MHK VL","61756","72.97","2.47","0","1"
"2025/02/01 10:00:00","EST","MILLWD","61759","73.46","2.96","0","1"
"2025/02/01 10:00:00","EST","N.Y.C.","61761","73.46","2.96","0","1"
"2025/02/01 10:00:00","EST","NORTH","61755","72.41","1.9","0","1"
"2025/02/01 10:00:00","EST","NPX","61845","88.39","2.82","-15.07","1"
"2025/02/01 10:00:00","EST","O H","61846","63.52","-6.98","0","1"
"2025/02/01 10:00:00","EST","PJM","61847","61.74","-1.83","6.93","1"
"2025/02/01 10:00:00","EST","WEST","61752","64.86","-5.64","0","1"
"2025/02/01 11:00:00","EST","CAPITL","61757","65.47","2.82","0","1"
