"RTD End Time Stamp","Interface Name","Interface PTID","RTD Flow MW","Positive Limit","Negative Limit"
"2025/04/07 00:05:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 00:05:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 00:05:00","IMO-NYISO","23317","1368.29","2200","-1850"
"2025/04/07 00:05:00","ISONE-NYISO","23318","2.79","1100","-1800"
"2025/04/07 00:05:00","NPX-1385","325277","113","160","-160"
"2025/04/07 00:05:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 00:05:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:05:00","PJM-NYISO","23316","1004.72","2400","-2400"
"2025/04/07 00:10:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 00:10:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 00:10:00","IMO-NYISO","23317","1291.23","2200","-1850"
"2025/04/07 00:10:00","ISONE-NYISO","23318","-116.97","1100","-1800"
"2025/04/07 00:10:00","NPX-1385","325277","90","160","-160"
"2025/04/07 00:10:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 00:10:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:10:00","PJM-NYISO","23316","1084.42","2400","-2400"
"2025/04/07 00:15:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 00:15:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 00:15:00","IMO-NYISO","23317","1291.28","2200","-1850"
"2025/04/07 00:15:00","ISONE-NYISO","23318","-141.97","1100","-1800"
"2025/04/07 00:15:00","NPX-1385","325277","90","160","-160"
"2025/04/07 00:15:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 00:15:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:15:00","PJM-NYISO","23316","1082.19","2400","-2400"
"2025/04/07 00:20:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 00:20:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 00:20:00","IMO-NYISO","23317","1291.31","2200","-1850"
"2025/04/07 00:20:00","ISONE-NYISO","23318","-166.97","1100","-1800"
"2025/04/07 00:20:00","NPX-1385","325277","90","160","-160"
"2025/04/07 00:20:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 00:20:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:20:00","PJM-NYISO","23316","1082.17","2400","-2400"
"2025/04/07 00:25:00","HQ-CEDARS","325274","-100","220","-100"
"2025/04/07 00:25:00","HQ-NYISO","23324","-980","1020","-980"
"2025/04/07 00:25:00","IMO-NYISO","23317","1291.32","2200","-1850"
"2025/04/07 00:25:00","ISONE-NYISO","23318","-166.97","1100","-1800"
"2025/04/07 00:25:00","NPX-1385","325277","90","160","-160"
"2025/04/07 00:25:00","NPX-CSC","325154","330","330","-330"
"2025/04/07 00:25:00","PJM-NEPTUNE","325305","550","660","-660"
"2025/04/07 00:25:00","PJM-NYISO","23316","1084.2","2400","-2400"
"2025/04/07 00:30:00","HQ-CEDARS","325274","-100","220","-100"
