"RTD End Time Stamp","Zone Name","Zone PTID","RTD Actual Load"
"2025/03/31 00:05:00","CAPITL","61757","1124.2303"
"2025/03/31 00:05:00","CENTRL","61754","1353.7527"
"2025/03/31 00:05:00","DUNWOD","61760","522.5582"
"2025/03/31 00:05:00","GENESE","61753","884.6624"
"2025/03/31 00:05:00","HUD VL","61758","889.6765"
"2025/03/31 00:05:00","LONGIL","61762","1759.5398"
"2025/03/31 00:05:00","MHK VL","61756","726.8894"
"2025/03/31 00:05:00","MILLWD","61759","226.5409"
"2025/03/31 00:05:00","N.Y.C.","61761","4461.8667"
"2025/03/31 00:05:00","NORTH","61755","634.5034"
"2025/03/31 00:05:00","WEST","61752","1519.7625"
"2025/03/31 00:10:00","CAPITL","61757","1107.8293"
"2025/03/31 00:10:00","CENTRL","61754","1378.963"
"2025/03/31 00:10:00","DUNWOD","61760","532.1063"
"2025/03/31 00:10:00","GENESE","61753","886.0905"
"2025/03/31 00:10:00","HUD VL","61758","919.2135"
"2025/03/31 00:10:00","LONGIL","61762","1748.6189"
"2025/03/31 00:10:00","MHK VL","61756","728.2848"
"2025/03/31 00:10:00","MILLWD","61759","222.514"
"2025/03/31 00:10:00","N.Y.C.","61761","4460.1846"
"2025/03/31 00:10:00","NORTH","61755","636.1697"
"2025/03/31 00:10:00","WEST","61752","1525.8765"
"2025/03/31 00:15:00","CAPITL","61757","1118.9906"
"2025/03/31 00:15:00","CENTRL","61754","1350.081"
"2025/03/31 00:15:00","DUNWOD","61760","517.1766"
"2025/03/31 00:15:00","GENESE","61753","883.1659"
"2025/03/31 00:15:00","HUD VL","61758","899.2278"
"2025/03/31 00:15:00","LONGIL","61762","1727.3989"
"2025/03/31 00:15:00","MHK VL","61756","731.4744"
"2025/03/31 00:15:00","MILLWD","61759","234.3709"
"2025/03/31 00:15:00","N.Y.C.","61761","4438.2217"
"2025/03/31 00:15:00","NORTH","61755","630.7946"
"2025/03/31 00:15:00","WEST","61752","1511.1979"
"2025/03/31 00:20:00","CAPITL","61757","1102.7007"
"2025/03/31 00:20:00","CENTRL","61754","1345.4055"
