"RTD End Time Stamp","Zone Name","Zone PTID","RTD Zonal LBMP","RTD Zonal Losses","RTD Zonal Congestion","RTD Zonal Price Version"
"2025/04/07 00:05:00","CAPITL","61757","42.21","0.58","0","1"
"2025/04/07 00:05:00","CENTRL","61754","41.71","0.08","0","1"
"2025/04/07 00:05:00","DUNWOD","61760","42.84","1.21","0","1"
"2025/04/07 00:05:00","GENESE","61753","40.75","-0.88","0","1"
"2025/04/07 00:05:00","H Q","61844","42.09","0.46","0","1"
"2025/04/07 00:05:00","HUD VL","61758","42.46","0.83","0","1"
"2025/04/07 00:05:00","LONGIL","61762","45.33","1.33","-2.37","1"
"2025/04/07 00:05:00","MHK VL","61756","42.59","0.96","0","1"
"2025/04/07 00:05:00","MILLWD","61759","42.54","0.91","0","1"
"2025/04/07 00:05:00","N.Y.C.","61761","45","1.33","-2.03","1"
"2025/04/07 00:05:00","NORTH","61755","42.71","1.08","0","1"
"2025/04/07 00:05:00","NPX","61845","41.8","0.17","0","1"
"2025/04/07 00:05:00","O H","61846","39.71","-1.91","0","1"
"2025/04/07 00:05:00","PJM","61847","41.5","-0.12","0","1"
"2025/04/07 00:05:00","WEST","61752","40.67","-0.96","0","1"
"2025/04/07 00:10:00","CAPITL","61757","41.49","0.61","0","1"
"2025/04/07 00:10:00","CENTRL","61754","40.96","0.08","0","1"
"2025/04/07 00:10:00","DUNWOD","61760","42.02","1.14","0","1"
"2025/04/07 00:10:00","GENESE","61753","39.98","-0.9","0","1"
"2025/04/07 00:10:00","H Q","61844","41.33","0.45","0","1"
"2025/04/07 00:10:00","HUD VL","61758","41.69","0.82","0","1"
"2025/04/07 00:10:00","LONGIL","61762","60.89","1.31","-18.71","1"
"2025/04/07 00:10:00","MHK VL","61756","41.82","0.94","0","1"
"2025/04/07 00:10:00","MILLWD","61759","41.77","0.9","0","1"
"2025/04/07 00:10:00","N.Y.C.","61761","44.29","1.27","-2.15","1"
"2025/04/07 00:10:00","NORTH","61755","41.94","1.06","0","1"
"2025/04/07 00:10:00","NPX","61845","41.08","0.21","0","1"
"2025/04/07 00:10:00","O H","61846","38.95","-1.92","0","1"
"2025/04/07 00:10:00","PJM","61847","40.75","-0.12","0","1"
"2025/04/07 00:10:00","WEST","61752","39.85","-1.02","0","1"
"2025/04/07 00:15:00","CAPITL","61757","41.41","0.61","0","1"
"2025/04/07 00:15:00","CENTRL","61754","40.83","0.04","0","1"
"2025/04/07 00:15:00","DUNWOD","61760","41.98","1.18","0","1"
"2025/04/07 00:15:00","GENESE","61753","39.73","-1.06","0","1"
"2025/04/07 00:15:00","H Q","61844","41.24","0.45","0","1"
"2025/04/07 00:15:00","HUD VL","61758","41.65","0.86","0","1"
"2025/04/07 00:15:00","LONGIL","61762","44.68","1.31","-2.58","1"
"2025/04/07 00:15:00","MHK VL","61756","41.73","0.94","0","1"
"2025/04/07 00:15:00","MILLWD","61759","41.73","0.94","0","1"
"2025/04/07 00:15:00","N.Y.C.","61761","44.25","1.31","-2.15","1"
"2025/04/07 00:15:00","NORTH","61755","41.85","1.06","0","1"
"2025/04/07 00:15:00","NPX","61845","41","0.2","0","1"
"2025/04/07 00:15:00","O H","61846","38.59","-2.2","0","1"
"2025/04/07 00:15:00","PJM","61847","40.63","-0.16","0","1"
"2025/04/07 00:15:00","WEST","61752","39.57","-1.22","0","1"
"2025/04/07 00:20:00","CAPITL","61757","41.49","0.61","0","1"
"2025/04/07 00:20:00","CENTRL","61754","41","0.12","0","1"
"2025/04/07 00:20:00","DUNWOD","61760","41.98","1.1","0","1"
"2025/04/07 00:20:00","GENESE","61753","39.89","-0.98","0","1"
"2025/04/07 00:20:00","H Q","61844","41.33","0.45","0","1"
"2025/04/07 00:20:00","HUD VL","61758","41.65","0.77","0","1"
"2025/04/07 00:20:00","LONGIL","61762","51.09","1.19","-9.03","1"
"2025/04/07 00:20:00","MHK VL","61756","41.85","0.98","0","1"
"2025/04/07 00:20:00","MILLWD","61759","41.73","0.86","0","1"
"2025/04/07 00:20:00","N.Y.C.","61761","44.21","1.19","-2.15","1"
"2025/04/07 00:20:00","NORTH","61755","41.98","1.1","0","1"
"2025/04/07 00:20:00","NPX","61845","41.04","0.16","0","1"
"2025/04/07 00:20:00","O H","61846","38.79","-2.08","0","1"
"2025/04/07 00:20:00","PJM","61847","40.75","-0.12","0","1"
"2025/04/07 00:20:00","WEST","61752","39.77","-1.1","0","1"
"2025/04/07 00:25:00","CAPITL","61757","41.49","0.61","0","1"
