Time Stamp,Name,PTID,LBMP ($/MWHr),Marginal Cost Losses ($/MWHr),Marginal Cost Congestion ($/MWHr)
11/03/2025 00:00,CAPITL,61757,45.27,1.66,0.00
11/03/2025 00:00,CENTRL,61754,42.65,-0.96,0.00
11/03/2025 00:00,DUNWOD,61760,46.49,2.88,0.00
11/03/2025 00:00,GENESE,61753,41.17,-2.44,0.00
11/03/2025 00:00,H Q,61844,43.83,0.22,0.00
11/03/2025 00:00,HUD VL,61758,46.23,2.62,0.00
11/03/2025 00:00,LONGIL,61762,46.65,3.31,0.27
11/03/2025 00:00,MHK VL,61756,44.61,1.00,0.00
11/03/2025 00:00,MILLWD,61759,46.36,2.75,0.00
11/03/2025 00:00,N.Y.C.,61761,46.97,3.36,0.00
11/03/2025 00:00,NORTH,61755,44.35,0.74,0.00
11/03/2025 00:00,NPX,61845,45.50,1.83,-0.06
11/03/2025 00:00,O H,61846,39.86,-3.75,0.00
11/03/2025 00:00,PJM,61847,43.13,-0.48,0.00
11/03/2025 00:00,WEST,61752,40.12,-3.49,0.00
11/03/2025 01:00,CAPITL,61757,39.52,1.45,0.00
11/03/2025 01:00,CENTRL,61754,37.27,-0.80,0.00
11/03/2025 01:00,DUNWOD,61760,40.55,2.47,0.00
11/03/2025 01:00,GENESE,61753,36.02,-2.06,0.00
11/03/2025 01:00,H Q,61844,38.26,0.19,0.00
11/03/2025 01:00,HUD VL,61758,40.28,2.21,0.00
11/03/2025 01:00,LONGIL,61762,40.79,2.70,-0.01
11/03/2025 01:00,MHK VL,61756,38.91,0.84,0.00
11/03/2025 01:00,MILLWD,61759,40.43,2.36,0.00
11/03/2025 01:00,N.Y.C.,61761,40.93,2.86,0.00
11/03/2025 01:00,NORTH,61755,38.68,0.61,0.00
11/03/2025 01:00,NPX,61845,39.60,1.52,0.00
11/03/2025 01:00,O H,61846,34.91,-3.16,0.00
11/03/2025 01:00,PJM,61847,37.73,-0.34,0.00
11/03/2025 01:00,WEST,61752,35.14,-2.93,0.00
11/03/2025 02:00,CAPITL,61757,38.07,1.43,0.00
11/03/2025 02:00,CENTRL,61754,35.87,-0.77,0.00
11/03/2025 02:00,DUNWOD,61760,38.99,2.35,0.00
11/03/2025 02:00,GENESE,61753,34.52,-2.13,0.00
11/03/2025 02:00,H Q,61844,36.75,0.11,0.00
11/03/2025 02:00,HUD VL,61758,38.77,2.12,0.00
11/03/2025 02:00,LONGIL,61762,38.86,2.24,0.02
11/03/2025 02:00,MHK VL,61756,37.45,0.81,0.00
11/03/2025 02:00,MILLWD,61759,38.92,2.27,0.00
11/03/2025 02:00,N.Y.C.,61761,39.32,2.67,0.00
11/03/2025 02:00,NORTH,61755,37.05,0.40,0.00
11/03/2025 02:00,NPX,61845,38.18,1.54,0.00
11/03/2025 02:00,O H,61846,33.49,-3.15,0.00
11/03/2025 02:00,PJM,61847,36.24,-0.40,0.00
11/03/2025 02:00,WEST,61752,33.68,-2.97,0.00
11/03/2025 03:00,CAPITL,61757,37.56,1.48,0.00
11/03/2025 03:00,CENTRL,61754,35.26,-0.83,0.00
11/03/2025 03:00,DUNWOD,61760,38.40,2.31,0.00
11/03/2025 03:00,GENESE,61753,33.85,-2.24,0.00
11/03/2025 03:00,H Q,61844,36.19,0.11,0.00
11/03/2025 03:00,HUD VL,61758,38.18,2.09,0.00
11/03/2025 03:00,LONGIL,61762,38.47,2.38,-0.01
11/03/2025 03:00,MHK VL,61756,36.77,0.68,0.00
11/03/2025 03:00,MILLWD,61759,38.32,2.24,0.00
11/03/2025 03:00,N.Y.C.,61761,38.75,2.67,0.00
11/03/2025 03:00,NORTH,61755,36.48,0.40,0.00
11/03/2025 03:00,NPX,61845,37.67,1.59,0.00
11/03/2025 03:00,O H,61846,32.77,-3.32,0.00
11/03/2025 03:00,PJM,61847,35.58,-0.51,0.00
11/03/2025 03:00,WEST,61752,32.94,-3.14,0.00
11/03/2025 04:00,CAPITL,61757,37.52,1.44,0.00
11/03/2025 04:00,CENTRL,61754,35.31,-0.76,0.00
