Timestamp,Interface Name,Point ID,Flow (MWH),Positive Limit (MWH),Negative Limit (MWH)
12/03/2024 00:00,CENTRAL EAST - VC,23330,2230.37,3105,-9999
12/03/2024 00:00,DYSINGER EAST,23326,1059.78,3200,-9999
12/03/2024 00:00,MOSES SOUTH,23319,2.14,1550,-1600
12/03/2024 00:00,SCH - HQ - NY,23324,0,0,0
12/03/2024 00:00,SCH - HQ_CEDARS,325274,0,240,0
12/03/2024 00:00,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
12/03/2024 00:00,SCH - NE - NY,23318,-1101.02,1400,-1800
12/03/2024 00:00,SCH - NPX_1385,325277,-170,200,-200
12/03/2024 00:00,SCH - NPX_CSC,325154,0,0,0
12/03/2024 00:00,SCH - OH - NY,23317,531.89,1150,-1000
12/03/2024 00:00,SCH - PJ - NY,23316,2111.5,2400,-2400
12/03/2024 00:00,SCH - PJM_HTP,325905,300,660,-660
12/03/2024 00:00,SCH - PJM_NEPTUNE,325305,660,660,-660
12/03/2024 00:00,SCH - PJM_VFT,325658,315,315,-315
12/03/2024 00:00,SPR/DUN-SOUTH,23320,1379.28,4600,-9999
12/03/2024 00:00,TOTAL EAST,23314,4207.23,7550,-9999
12/03/2024 00:00,UPNY CONED,23315,2931.56,6220,-9999
12/03/2024 00:00,WEST CENTRAL,23312,613.37,9999,-9999
12/03/2024 00:05,CENTRAL EAST - VC,23330,2144.42,3105,-9999
12/03/2024 00:05,DYSINGER EAST,23326,1070.71,3200,-9999
12/03/2024 00:05,MOSES SOUTH,23319,-41.76,1550,-1600
12/03/2024 00:05,SCH - HQ - NY,23324,0,0,0
12/03/2024 00:05,SCH - HQ_CEDARS,325274,0,240,0
12/03/2024 00:05,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
12/03/2024 00:05,SCH - NE - NY,23318,-895.46,1400,-1800
12/03/2024 00:05,SCH - NPX_1385,325277,-200,200,-200
12/03/2024 00:05,SCH - NPX_CSC,325154,0,0,0
12/03/2024 00:05,SCH - OH - NY,23317,550.02,1150,-1000
12/03/2024 00:05,SCH - PJ - NY,23316,2104.2,2400,-2400
12/03/2024 00:05,SCH - PJM_HTP,325905,300,660,-660
12/03/2024 00:05,SCH - PJM_NEPTUNE,325305,660,660,-660
12/03/2024 00:05,SCH - PJM_VFT,325658,315,315,-315
12/03/2024 00:05,SPR/DUN-SOUTH,23320,1345.23,4600,-9999
12/03/2024 00:05,TOTAL EAST,23314,4082.39,7550,-9999
12/03/2024 00:05,UPNY CONED,23315,2914.78,6220,-9999
12/03/2024 00:05,WEST CENTRAL,23312,628.64,9999,-9999
12/03/2024 00:10,CENTRAL EAST - VC,23330,2146.49,3105,-9999
12/03/2024 00:10,DYSINGER EAST,23326,1056.83,3200,-9999
12/03/2024 00:10,MOSES SOUTH,23319,-18.93,1550,-1600
12/03/2024 00:10,SCH - HQ - NY,23324,0,0,0
12/03/2024 00:10,SCH - HQ_CEDARS,325274,0,240,0
12/03/2024 00:10,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
12/03/2024 00:10,SCH - NE - NY,23318,-899.76,1400,-1800
12/03/2024 00:10,SCH - NPX_1385,325277,-200,200,-200
12/03/2024 00:10,SCH - NPX_CSC,325154,0,0,0
12/03/2024 00:10,SCH - OH - NY,23317,550.1,1150,-1000
12/03/2024 00:10,SCH - PJ - NY,23316,2109.95,2400,-2400
12/03/2024 00:10,SCH - PJM_HTP,325905,300,660,-660
12/03/2024 00:10,SCH - PJM_NEPTUNE,325305,660,660,-660
12/03/2024 00:10,SCH - PJM_VFT,325658,315,315,-315
12/03/2024 00:10,SPR/DUN-SOUTH,23320,1316.87,4600,-9999
12/03/2024 00:10,TOTAL EAST,23314,4053.61,7550,-9999
12/03/2024 00:10,UPNY CONED,23315,2858.88,6220,-9999
12/03/2024 00:10,WEST CENTRAL,23312,614.59,9999,-9999
12/03/2024 00:15,CENTRAL EAST - VC,23330,2226.22,3105,-9999
12/03/2024 00:15,DYSINGER EAST,23326,1225.9,3200,-9999
12/03/2024 00:15,MOSES SOUTH,23319,-33.38,1550,-1600
12/03/2024 00:15,SCH - HQ - NY,23324,0,0,0
12/03/2024 00:15,SCH - HQ_CEDARS,325274,0,240,0
12/03/2024 00:15,SCH - HQ_IMPORT_EXPORT,325376,0,0,0
12/03/2024 00:15,SCH - NE - NY,23318,-902.56,1400,-1800
12/03/2024 00:15,SCH - NPX_1385,325277,-200,200,-200
12/03/2024 00:15,SCH - NPX_CSC,325154,0,0,0
12/03/2024 00:15,SCH - OH - NY,23317,550.22,1150,-1000
12/03/2024 00:15,SCH - PJ - NY,23316,2114.55,2400,-2400
12/03/2024 00:15,SCH - PJM_HTP,325905,300,660,-660
12/03/2024 00:15,SCH - PJM_NEPTUNE,325305,660,660,-660
12/03/2024 00:15,SCH - PJM_VFT,325658,315,315,-315
12/03/2024 00:15,SPR/DUN-SOUTH,23320,1589.25,4600,-9999
12/03/2024 00:15,TOTAL EAST,23314,4211.69,7550,-9999
12/03/2024 00:15,UPNY CONED,23315,3155.89,6220,-9999
