"Time Stamp","Time Zone","Name","PTID","Load"
"01/03/2026 00:00:00","EST","CAPITL",61757,1515.8884
"01/03/2026 00:00:00","EST","CENTRL",61754,1910.6489
"01/03/2026 00:00:00","EST","DUNWOD",61760,692.41
"01/03/2026 00:00:00","EST","GENESE",61753,1130.5914
"01/03/2026 00:00:00","EST","HUD VL",61758,1271.3352
"01/03/2026 00:00:00","EST","LONGIL",61762,2418.7788
"01/03/2026 00:00:00","EST","MHK VL",61756,1016.47
"01/03/2026 00:00:00","EST","MILLWD",61759,385.5027
"01/03/2026 00:00:00","EST","N.Y.C.",61761,5713.1025
"01/03/2026 00:00:00","EST","NORTH",61755,732.7523
"01/03/2026 00:00:00","EST","WEST",61752,1737.6663
"01/03/2026 00:05:00","EST","CAPITL",61757,1468.0103
"01/03/2026 00:05:00","EST","CENTRL",61754,1884.6414
"01/03/2026 00:05:00","EST","DUNWOD",61760,683.4846
"01/03/2026 00:05:00","EST","GENESE",61753,1127.974
"01/03/2026 00:05:00","EST","HUD VL",61758,1303.6763
"01/03/2026 00:05:00","EST","LONGIL",61762,2390.5476
"01/03/2026 00:05:00","EST","MHK VL",61756,1028.9497
"01/03/2026 00:05:00","EST","MILLWD",61759,377.8832
"01/03/2026 00:05:00","EST","N.Y.C.",61761,5737.7217
"01/03/2026 00:05:00","EST","NORTH",61755,724.8262
"01/03/2026 00:05:00","EST","WEST",61752,1746.1848
"01/03/2026 00:10:00","EST","CAPITL",61757,1514.8494
"01/03/2026 00:10:00","EST","CENTRL",61754,1881.5491
"01/03/2026 00:10:00","EST","DUNWOD",61760,683.0721
"01/03/2026 00:10:00","EST","GENESE",61753,1127.312
"01/03/2026 00:10:00","EST","HUD VL",61758,1255.9739
"01/03/2026 00:10:00","EST","LONGIL",61762,2400.1206
"01/03/2026 00:10:00","EST","MHK VL",61756,1031.4475
"01/03/2026 00:10:00","EST","MILLWD",61759,387.4137
"01/03/2026 00:10:00","EST","N.Y.C.",61761,5693.7197
"01/03/2026 00:10:00","EST","NORTH",61755,715.507
"01/03/2026 00:10:00","EST","WEST",61752,1739.5027
"01/03/2026 00:15:00","EST","CAPITL",61757,1516.8318
"01/03/2026 00:15:00","EST","CENTRL",61754,1886.0564
"01/03/2026 00:15:00","EST","DUNWOD",61760,690.9899
"01/03/2026 00:15:00","EST","GENESE",61753,1123.7654
"01/03/2026 00:15:00","EST","HUD VL",61758,1254.4673
"01/03/2026 00:15:00","EST","LONGIL",61762,2396.5205
"01/03/2026 00:15:00","EST","MHK VL",61756,1010.8983
"01/03/2026 00:15:00","EST","MILLWD",61759,384.3701
"01/03/2026 00:15:00","EST","N.Y.C.",61761,5678.8975
"01/03/2026 00:15:00","EST","NORTH",61755,731.6937
"01/03/2026 00:15:00","EST","WEST",61752,1720.9585
"01/03/2026 00:20:00","EST","CAPITL",61757,1506.2804
"01/03/2026 00:20:00","EST","CENTRL",61754,1903.4382
"01/03/2026 00:20:00","EST","DUNWOD",61760,685.4554
"01/03/2026 00:20:00","EST","GENESE",61753,1123.4702
"01/03/2026 00:20:00","EST","HUD VL",61758,1270.5267
"01/03/2026 00:20:00","EST","LONGIL",61762,2380.4634
"01/03/2026 00:20:00","EST","MHK VL",61756,992.673
"01/03/2026 00:20:00","EST","MILLWD",61759,374.3703
"01/03/2026 00:20:00","EST","N.Y.C.",61761,5681.343
"01/03/2026 00:20:00","EST","NORTH",61755,748.1751
"01/03/2026 00:20:00","EST","WEST",61752,1751.8042
"01/03/2026 00:25:00","EST","CAPITL",61757,1509.5942
"01/03/2026 00:25:00","EST","CENTRL",61754,1896.8501
"01/03/2026 00:25:00","EST","DUNWOD",61760,685.4761
"01/03/2026 00:25:00","EST","GENESE",61753,1121.895
"01/03/2026 00:25:00","EST","HUD VL",61758,1262.1328
"01/03/2026 00:25:00","EST","LONGIL",61762,2393.4883
"01/03/2026 00:25:00","EST","MHK VL",61756,1002.0958
"01/03/2026 00:25:00","EST","MILLWD",61759,370.816
"01/03/2026 00:25:00","EST","N.Y.C.",61761,5660.965
"01/03/2026 00:25:00","EST","NORTH",61755,743.186
"01/03/2026 00:25:00","EST","WEST",61752,1703.1819
"01/03/2026 00:30:00","EST","CAPITL",61757,1506.0127
"01/03/2026 00:30:00","EST","CENTRL",61754,1894.9695
"01/03/2026 00:30:00","EST","DUNWOD",61760,680.4377
"01/03/2026 00:30:00","EST","GENESE",61753,1117.0518
"01/03/2026 00:30:00","EST","HUD VL",61758,1277.3843
"01/03/2026 00:30:00","EST","LONGIL",61762,2369.6194
"01/03/2026 00:30:00","EST","MHK VL",61756,973.0926
"01/03/2026 00:30:00","EST","MILLWD",61759,373.7618
"01/03/2026 00:30:00","EST","N.Y.C.",61761,5626.8066
"01/03/2026 00:30:00","EST","NORTH",61755,760.8914
"01/03/2026 00:30:00","EST","WEST",61752,1708.6515
"01/03/2026 00:35:00","EST","CAPITL",61757,1484.5637
"01/03/2026 00:35:00","EST","CENTRL",61754,1877.2192
"01/03/2026 00:35:00","EST","DUNWOD",61760,686.5456
"01/03/2026 00:35:00","EST","GENESE",61753,1116.7927
"01/03/2026 00:35:00","EST","HUD VL",61758,1253.1963
"01/03/2026 00:35:00","EST","LONGIL",61762,2374.772
"01/03/2026 00:35:00","EST","MHK VL",61756,988.725
"01/03/2026 00:35:00","EST","MILLWD",61759,369.0227
"01/03/2026 00:35:00","EST","N.Y.C.",61761,5597.417
"01/03/2026 00:35:00","EST","NORTH",61755,750.4612
"01/03/2026 00:35:00","EST","WEST",61752,1716.7844
"01/03/2026 00:40:00","EST","CAPITL",61757,1496.8348
"01/03/2026 00:40:00","EST","CENTRL",61754,1835.3499
"01/03/2026 00:40:00","EST","DUNWOD",61760,661.6501
"01/03/2026 00:40:00","EST","GENESE",61753,1116.1392
"01/03/2026 00:40:00","EST","HUD VL",61758,1259.9136
"01/03/2026 00:40:00","EST","LONGIL",61762,2345.9792
"01/03/2026 00:40:00","EST","MHK VL",61756,1005.5572
"01/03/2026 00:40:00","EST","MILLWD",61759,370.5887
"01/03/2026 00:40:00","EST","N.Y.C.",61761,5582.111
"01/03/2026 00:40:00","EST","NORTH",61755,742.4638
"01/03/2026 00:40:00","EST","WEST",61752,1701.4731
