"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"08/21/2025 00:05:00","CAPITL",61757,24.06,0.54,0.00
"08/21/2025 00:05:00","CENTRL",61754,23.35,-0.16,0.00
"08/21/2025 00:05:00","DUNWOD",61760,24.25,0.73,0.00
"08/21/2025 00:05:00","GENESE",61753,23.12,-0.40,0.00
"08/21/2025 00:05:00","H Q",61844,23.82,0.30,0.00
"08/21/2025 00:05:00","HUD VL",61758,24.08,0.56,0.00
"08/21/2025 00:05:00","LONGIL",61762,24.13,0.61,0.00
"08/21/2025 00:05:00","MHK VL",61756,24.20,0.68,0.00
"08/21/2025 00:05:00","MILLWD",61759,24.13,0.61,0.00
"08/21/2025 00:05:00","N.Y.C.",61761,24.36,0.85,0.00
"08/21/2025 00:05:00","NORTH",61755,24.32,0.80,0.00
"08/21/2025 00:05:00","NPX",61845,25.73,0.40,-1.81
"08/21/2025 00:05:00","O H",61846,22.58,-0.94,0.00
"08/21/2025 00:05:00","PJM",61847,23.38,-0.14,0.00
"08/21/2025 00:05:00","WEST",61752,22.98,-0.54,0.00
"08/21/2025 00:10:00","CAPITL",61757,24.08,0.52,0.00
"08/21/2025 00:10:00","CENTRL",61754,23.47,-0.09,0.00
"08/21/2025 00:10:00","DUNWOD",61760,24.20,0.64,0.00
"08/21/2025 00:10:00","GENESE",61753,23.28,-0.28,0.00
"08/21/2025 00:10:00","H Q",61844,23.87,0.31,0.00
"08/21/2025 00:10:00","HUD VL",61758,24.04,0.47,0.00
"08/21/2025 00:10:00","LONGIL",61762,24.08,0.52,0.00
"08/21/2025 00:10:00","MHK VL",61756,24.25,0.68,0.00
"08/21/2025 00:10:00","MILLWD",61759,24.08,0.52,0.00
"08/21/2025 00:10:00","N.Y.C.",61761,24.32,0.75,0.00
"08/21/2025 00:10:00","NORTH",61755,24.39,0.82,0.00
"08/21/2025 00:10:00","NPX",61845,25.71,0.33,-1.81
"08/21/2025 00:10:00","O H",61846,22.81,-0.76,0.00
"08/21/2025 00:10:00","PJM",61847,23.45,-0.12,0.00
"08/21/2025 00:10:00","WEST",61752,23.21,-0.35,0.00
"08/21/2025 00:15:00","CAPITL",61757,25.30,0.52,0.00
"08/21/2025 00:15:00","CENTRL",61754,24.75,-0.02,0.00
"08/21/2025 00:15:00","DUNWOD",61760,25.32,0.54,0.00
"08/21/2025 00:15:00","GENESE",61753,24.68,-0.10,0.00
"08/21/2025 00:15:00","H Q",61844,25.13,0.35,0.00
"08/21/2025 00:15:00","HUD VL",61758,25.17,0.40,0.00
"08/21/2025 00:15:00","LONGIL",61762,25.20,0.42,0.00
"08/21/2025 00:15:00","MHK VL",61756,25.50,0.72,0.00
"08/21/2025 00:15:00","MILLWD",61759,25.23,0.45,0.00
"08/21/2025 00:15:00","N.Y.C.",61761,25.42,0.64,0.00
"08/21/2025 00:15:00","NORTH",61755,25.67,0.89,0.00
"08/21/2025 00:15:00","NPX",61845,26.84,0.25,-1.81
"08/21/2025 00:15:00","O H",61846,24.31,-0.47,0.00
"08/21/2025 00:15:00","PJM",61847,24.71,-0.07,0.00
"08/21/2025 00:15:00","WEST",61752,24.73,-0.05,0.00
"08/21/2025 00:20:00","CAPITL",61757,25.35,0.50,0.00
"08/21/2025 00:20:00","CENTRL",61754,24.85,0.00,0.00
"08/21/2025 00:20:00","DUNWOD",61760,25.35,0.50,0.00
"08/21/2025 00:20:00","GENESE",61753,24.80,-0.05,0.00
"08/21/2025 00:20:00","H Q",61844,25.17,0.32,0.00
"08/21/2025 00:20:00","HUD VL",61758,25.23,0.37,0.00
"08/21/2025 00:20:00","LONGIL",61762,25.23,0.37,0.00
"08/21/2025 00:20:00","MHK VL",61756,25.57,0.72,0.00
"08/21/2025 00:20:00","MILLWD",61759,25.25,0.40,0.00
"08/21/2025 00:20:00","N.Y.C.",61761,25.45,0.60,0.00
"08/21/2025 00:20:00","NORTH",61755,25.72,0.87,0.00
"08/21/2025 00:20:00","NPX",61845,25.15,0.30,0.00
"08/21/2025 00:20:00","O H",61846,24.45,-0.40,0.00
"08/21/2025 00:20:00","PJM",61847,24.75,-0.10,0.00
"08/21/2025 00:20:00","WEST",61752,24.85,0.00,0.00
"08/21/2025 00:25:00","CAPITL",61757,25.27,0.50,0.00
"08/21/2025 00:25:00","CENTRL",61754,24.71,-0.07,0.00
"08/21/2025 00:25:00","DUNWOD",61760,25.32,0.54,0.00
"08/21/2025 00:25:00","GENESE",61753,24.68,-0.10,0.00
"08/21/2025 00:25:00","H Q",61844,25.10,0.32,0.00
"08/21/2025 00:25:00","HUD VL",61758,25.17,0.40,0.00
"08/21/2025 00:25:00","LONGIL",61762,25.17,0.40,0.00
"08/21/2025 00:25:00","MHK VL",61756,25.50,0.72,0.00
"08/21/2025 00:25:00","MILLWD",61759,25.23,0.45,0.00
"08/21/2025 00:25:00","N.Y.C.",61761,25.42,0.64,0.00
"08/21/2025 00:25:00","NORTH",61755,25.65,0.87,0.00
"08/21/2025 00:25:00","NPX",61845,25.10,0.32,0.00
"08/21/2025 00:25:00","O H",61846,24.28,-0.50,0.00
"08/21/2025 00:25:00","PJM",61847,24.66,-0.12,0.00
"08/21/2025 00:25:00","WEST",61752,24.68,-0.10,0.00
"08/21/2025 00:30:00","CAPITL",61757,25.25,0.49,0.00
"08/21/2025 00:30:00","CENTRL",61754,24.68,-0.07,0.00
"08/21/2025 00:30:00","DUNWOD",61760,25.32,0.57,0.00
"08/21/2025 00:30:00","GENESE",61753,24.63,-0.12,0.00
"08/21/2025 00:30:00","H Q",61844,25.07,0.32,0.00
"08/21/2025 00:30:00","HUD VL",61758,25.17,0.42,0.00
"08/21/2025 00:30:00","LONGIL",61762,25.17,0.42,0.00
"08/21/2025 00:30:00","MHK VL",61756,25.47,0.72,0.00
"08/21/2025 00:30:00","MILLWD",61759,25.20,0.45,0.00
"08/21/2025 00:30:00","N.Y.C.",61761,25.42,0.67,0.00
"08/21/2025 00:30:00","NORTH",61755,25.62,0.87,0.00
"08/21/2025 00:30:00","NPX",61845,25.07,0.32,0.00
"08/21/2025 00:30:00","O H",61846,24.23,-0.52,0.00
"08/21/2025 00:30:00","PJM",61847,24.63,-0.12,0.00
"08/21/2025 00:30:00","WEST",61752,24.61,-0.15,0.00
"08/21/2025 00:35:00","CAPITL",61757,25.20,0.49,0.00
"08/21/2025 00:35:00","CENTRL",61754,24.63,-0.07,0.00
"08/21/2025 00:35:00","DUNWOD",61760,25.30,0.59,0.00
"08/21/2025 00:35:00","GENESE",61753,24.56,-0.15,0.00
"08/21/2025 00:35:00","H Q",61844,25.03,0.32,0.00
"08/21/2025 00:35:00","HUD VL",61758,25.15,0.45,0.00
"08/21/2025 00:35:00","LONGIL",61762,25.13,0.42,0.00
"08/21/2025 00:35:00","MHK VL",61756,25.42,0.72,0.00
"08/21/2025 00:35:00","MILLWD",61759,25.20,0.49,0.00
"08/21/2025 00:35:00","N.Y.C.",61761,25.40,0.69,0.00
"08/21/2025 00:35:00","NORTH",61755,25.57,0.86,0.00
"08/21/2025 00:35:00","NPX",61845,25.05,0.35,0.00
"08/21/2025 00:35:00","O H",61846,24.16,-0.54,0.00
"08/21/2025 00:35:00","PJM",61847,24.58,-0.12,0.00
"08/21/2025 00:35:00","WEST",61752,24.53,-0.17,0.00
"08/21/2025 00:40:00","CAPITL",61757,24.09,0.47,0.00
"08/21/2025 00:40:00","CENTRL",61754,23.53,-0.09,0.00
"08/21/2025 00:40:00","DUNWOD",61760,24.19,0.57,0.00
"08/21/2025 00:40:00","GENESE",61753,23.48,-0.14,0.00
"08/21/2025 00:40:00","H Q",61844,23.93,0.31,0.00
"08/21/2025 00:40:00","HUD VL",61758,24.05,0.43,0.00
"08/21/2025 00:40:00","LONGIL",61762,24.02,0.40,0.00
"08/21/2025 00:40:00","MHK VL",61756,24.28,0.66,0.00
"08/21/2025 00:40:00","MILLWD",61759,24.09,0.47,0.00
"08/21/2025 00:40:00","N.Y.C.",61761,24.28,0.66,0.00
"08/21/2025 00:40:00","NORTH",61755,24.45,0.83,0.00
"08/21/2025 00:40:00","NPX",61845,23.95,0.33,0.00
"08/21/2025 00:40:00","O H",61846,23.10,-0.52,0.00
"08/21/2025 00:40:00","PJM",61847,23.53,-0.09,0.00
"08/21/2025 00:40:00","WEST",61752,23.48,-0.14,0.00
"08/21/2025 00:45:00","CAPITL",61757,24.09,0.50,0.00
"08/21/2025 00:45:00","CENTRL",61754,23.52,-0.07,0.00
"08/21/2025 00:45:00","DUNWOD",61760,24.18,0.59,0.00
"08/21/2025 00:45:00","GENESE",61753,23.45,-0.14,0.00
"08/21/2025 00:45:00","H Q",61844,23.89,0.31,0.00
"08/21/2025 00:45:00","HUD VL",61758,24.04,0.45,0.00
"08/21/2025 00:45:00","LONGIL",61762,23.99,0.40,0.00
"08/21/2025 00:45:00","MHK VL",61756,24.27,0.68,0.00
"08/21/2025 00:45:00","MILLWD",61759,24.06,0.47,0.00
"08/21/2025 00:45:00","N.Y.C.",61761,24.27,0.68,0.00
"08/21/2025 00:45:00","NORTH",61755,24.39,0.80,0.00
"08/21/2025 00:45:00","NPX",61845,23.92,0.33,0.00
"08/21/2025 00:45:00","O H",61846,23.07,-0.52,0.00
"08/21/2025 00:45:00","PJM",61847,23.52,-0.07,0.00
"08/21/2025 00:45:00","WEST",61752,23.45,-0.14,0.00
"08/21/2025 00:50:00","CAPITL",61757,24.05,0.47,0.00
"08/21/2025 00:50:00","CENTRL",61754,23.56,-0.02,0.00
"08/21/2025 00:50:00","DUNWOD",61760,24.14,0.56,0.00
"08/21/2025 00:50:00","GENESE",61753,23.46,-0.12,0.00
"08/21/2025 00:50:00","H Q",61844,23.86,0.28,0.00
"08/21/2025 00:50:00","HUD VL",61758,24.00,0.42,0.00
"08/21/2025 00:50:00","LONGIL",61762,23.96,0.38,0.00
"08/21/2025 00:50:00","MHK VL",61756,24.26,0.68,0.00
"08/21/2025 00:50:00","MILLWD",61759,24.05,0.47,0.00
"08/21/2025 00:50:00","N.Y.C.",61761,24.24,0.66,0.00
"08/21/2025 00:50:00","NORTH",61755,24.36,0.78,0.00
"08/21/2025 00:50:00","NPX",61845,24.44,0.31,-0.56
"08/21/2025 00:50:00","O H",61846,23.13,-0.45,0.00
"08/21/2025 00:50:00","PJM",61847,23.56,-0.02,0.00
"08/21/2025 00:50:00","WEST",61752,23.51,-0.07,0.00
"08/21/2025 00:55:00","CAPITL",61757,23.65,0.46,0.00
"08/21/2025 00:55:00","CENTRL",61754,23.12,-0.07,0.00
"08/21/2025 00:55:00","DUNWOD",61760,23.75,0.56,0.00
"08/21/2025 00:55:00","GENESE",61753,23.05,-0.14,0.00
"08/21/2025 00:55:00","H Q",61844,23.47,0.28,0.00
"08/21/2025 00:55:00","HUD VL",61758,23.63,0.44,0.00
"08/21/2025 00:55:00","LONGIL",61762,23.61,0.42,0.00
"08/21/2025 00:55:00","MHK VL",61756,23.84,0.65,0.00
"08/21/2025 00:55:00","MILLWD",61759,23.65,0.46,0.00
"08/21/2025 00:55:00","N.Y.C.",61761,23.84,0.65,0.00
"08/21/2025 00:55:00","NORTH",61755,23.95,0.76,0.00
"08/21/2025 00:55:00","NPX",61845,24.05,0.30,-0.56
"08/21/2025 00:55:00","O H",61846,22.68,-0.51,0.00
"08/21/2025 00:55:00","PJM",61847,23.12,-0.07,0.00
"08/21/2025 00:55:00","WEST",61752,23.05,-0.14,0.00
"08/21/2025 01:00:00","CAPITL",61757,29.40,0.58,0.00
"08/21/2025 01:00:00","CENTRL",61754,28.80,-0.03,0.00
"08/21/2025 01:00:00","DUNWOD",61760,29.40,0.58,0.00
"08/21/2025 01:00:00","GENESE",61753,28.82,0.00,0.00
"08/21/2025 01:00:00","H Q",61844,29.17,0.35,0.00
"08/21/2025 01:00:00","HUD VL",61758,29.28,0.46,0.00
"08/21/2025 01:00:00","LONGIL",61762,29.28,0.46,0.00
"08/21/2025 01:00:00","MHK VL",61756,29.66,0.84,0.00
"08/21/2025 01:00:00","MILLWD",61759,29.28,0.46,0.00
"08/21/2025 01:00:00","N.Y.C.",61761,29.40,0.58,0.00
"08/21/2025 01:00:00","NORTH",61755,29.77,0.95,0.00
"08/21/2025 01:00:00","NPX",61845,29.70,0.32,-0.56
"08/21/2025 01:00:00","O H",61846,28.48,-0.34,0.00
"08/21/2025 01:00:00","PJM",61847,28.80,-0.03,0.00
"08/21/2025 01:00:00","WEST",61752,28.94,0.12,0.00
"08/21/2025 01:05:00","CAPITL",61757,27.74,0.49,0.00
"08/21/2025 01:05:00","CENTRL",61754,27.33,0.08,0.00
"08/21/2025 01:05:00","DUNWOD",61760,27.74,0.49,0.00
"08/21/2025 01:05:00","GENESE",61753,27.49,0.24,0.00
"08/21/2025 01:05:00","H Q",61844,27.58,0.33,0.00
"08/21/2025 01:05:00","HUD VL",61758,27.63,0.38,0.00
"08/21/2025 01:05:00","LONGIL",61762,27.60,0.35,0.00
